"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","silver-0",28,0,2000,2054,1959,2690,19,0.47
"GET","silver-1",29,0,2000,2037,1938,2296,19,0.49
"GET","silver-2",28,0,2000,2050,1956,2489,19,0.47
"GET","silver-3",29,0,2000,2041,1892,2330,19,0.49
"GET","silver-4",29,0,2000,2025,1879,2226,19,0.49
"GET","silver-5",29,0,2000,2030,1949,2232,19,0.49
"GET","silver-6",29,0,2000,2045,1926,2394,19,0.49
"GET","silver-7",29,0,2000,2033,1952,2210,19,0.49
"GET","silver-8",28,0,2000,2058,1963,2806,19,0.47
"None","Total",258,0,2000,2041,1879,2806,19,4.32
