"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET silver-0",42,810,1800,2300,2500,2800,3400,4200,4200,4200
"Total",42,810,1800,2300,2500,2800,3400,4200,4200,4200
