"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET silver-0",227,55,77,81,90,1300,1500,2000,2400,2900
"GET silver-1",225,57,72,80,87,1300,1500,2000,2400,3000
"Total",452,56,75,80,89,1300,1500,2000,2400,3000
