"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET silver-0",217,55,71,85,340,1200,1300,1600,1800,3000
"GET silver-1",220,56,71,91,300,1200,1300,1600,1800,2900
"Total",437,55,71,86,300,1200,1300,1600,1800,3000
